person_id,name,title,organization,type,tickers,age,born,pay,exercised,unexercised
PER-0001,A. Brad Delco,EVP of Finance & Chief Financial Officer,,executive,JBHT,,,,0,0
PER-0002,A. Clay Holder,Executive VP & Chief Financial Officer,,executive,MAA,48,1977,1009570,0,0
PER-0003,A. Cory Stevens,President & COO of Freeport Americas,,executive,FCX,,,,0,0
PER-0004,A. Jayson Adair,Executive Chairman,,executive,CPRT,56,1969,432172,0,96280000
PER-0005,A. Lily Ley,VP & Chief Information Officer,,executive,PCAR,59,1966,,0,0
PER-0006,A. Scott Mansolillo,Senior VP & Chief Compliance Officer,,executive,WRB,,,,0,0
PER-0007,A. Warren Gardiner C.F.A.,Chief Financial Officer,,executive,ICE,44,1981,2132867,0,289957
PER-0008,Aamir  Malik,Executive VP & Chief U.S. Commercial Officer,,executive,PFE,49,1976,4691189,0,0
PER-0009,Aaron  Evans,Vice President of Investor Relations,,executive,RSG,<NA>,<NA>,<NA>,0,0
PER-0010,Aaron  Gwinner,Senior VP and Chief Digital & Technology Officer,,executive,CPB,,,,0,0
PER-0011,Aaron  Musgrave CPA,Vice President of Investor Relations,,executive,AWK,,,,0,0
PER-0012,Aaron A. Anderson,Chief Accounting Officer,,executive,META,,,,0,0
PER-0013,Aaron C. Von Staats Esq.,"Executive VP, General Counsel & Corporate Secretary",,executive,PTC,59,1966,916010,0,0
PER-0014,Aaron E. Alt J.D.,Chief Financial Officer,,executive,CAH,53,1972,2232222,0,0
PER-0015,Aaron J. Johnson,Senior VP of Local Customer & Community Engagement and Chief Sustainability Officer,,executive,PCG,,,,0,0
PER-0016,Aaron J. Webster,Executive VP & Global Chief Risk Officer,,executive,PYPL,45,1980,4578711,0,0
PER-0017,Aaron Kyle Stucki,President of Transportation Solutions,,executive,TEL,51,1974,3810945,6743974,3303414
PER-0018,Aaron P. Jagdfeld,"Chairman, President & CEO",,executive,GNRC,53,1972,3047724,10427867,46274192
PER-0019,Aaron S. Ahola,"Executive VP, General Counsel & Corporate Secretary",,executive,AKAM,55,1970,450885,0,0
PER-0020,Aart J. de Geus Ph.D.,Co-Founder & Executive Chairman,,executive,SNPS,71,1954,728760,46452464,46319496
PER-0021,Abbey  Linville,Vice President of Corporate Communications,,executive,SJM,<NA>,<NA>,<NA>,0,0
PER-0022,Abby  Teisch,Executive Vice President of Marketing,,executive,WSM,,,,0,0
PER-0023,Abdellah  Merad,Executive Vice President of Core Services & Equipment,,executive,SLB,51,1974,1892588,0,0
PER-0024,Abigail  Stock B.A.,Executive Vice President of Marketing & Communications,,executive,AXON,,,,0,0
PER-0025,Abigail L. Motsinger,Vice President of Investor Relations,,executive,DUK,42,1983,,0,0
PER-0026,Abigail M. Diaz,Chief Administrative Officer & Corporate Secretary,,executive,TYL,,,,0,0
PER-0027,Achintya  Mangla,Head of Investment Banking Financing,,executive,C,,,,0,0
PER-0028,Adaire Rita Fox-Martin,"President, CEO & Director",,executive,EQIX,61,1964,1352076,0,0
PER-0029,Adam  Blitzer,Chief Operating Officer,,executive,DDOG,44,1981,794429,0,0
PER-0030,Adam  Deckinger,Chief Legal & Administrative Officer,,executive,TSN,49,1976,3032561,0,51124
PER-0031,Adam  Graves,Senior EVP and Head of Enterprise Strategy & Administration,,executive,USB,47,1978,,0,0
PER-0032,Adam  Karon,COO & GM of Cloud Technology Group,,executive,AKAM,53,1972,560539,0,0
PER-0033,Adam  Keeney Ph.D.,Executive VP & Head of Corporate Development,,executive,BIIB,48,1977,,0,0
PER-0034,Adam  Lenkowsky,Executive VP & Chief Commercialization Officer,,executive,BMY,53,1972,,0,0
