symbol,name,title,age,born,pay,exercised,unexercised
A,Dr. Simon  May,SVP & President of LDG,52,1973,882855,0,0
A,Mr. Adam S. Elinoff,"Senior VP, CFO & Principal Financial Officer",48,1977,<NA>,0,0
A,Mr. August  Specht Ph.D.,Senior VP & Chief Technology Officer,<NA>,<NA>,<NA>,0,0
A,Mr. Bret M. DiMarco,"Senior VP, Chief Legal Officer, & Secretary",57,1968,<NA>,0,0
A,Mr. Frederick  Schwarz,"SVP, Chief Strategy & Corporate Development Officer",<NA>,<NA>,<NA>,0,0
A,Mr. Jonah  Kirkwood,Senior VP & Chief Commercial Officer of Commercial Organization,44,1981,<NA>,0,0
A,Mr. Padraig  McDonnell,"CEO, President & Director",53,1972,1560585,0,191555
A,Mr. Tejas Rajeev Savant,Vice President of Investor Relations,<NA>,<NA>,<NA>,0,0
A,Ms. Meghan A. Henson,Senior VP & Chief Human Resources Officer,55,1970,<NA>,0,0
A,Ms. Yvonne  Mackie,MD of UK & Ireland Operations and VP of Human Resources - Europe,<NA>,<NA>,<NA>,0,0
AAPL,Mr. Adrian  Perica,Vice President of Corporate Development,51,1974,<NA>,0,0
AAPL,Mr. Ben  Borders,Principal Accounting Officer,44,1981,<NA>,0,0
AAPL,Mr. Greg  Joswiak,Senior Vice President of Worldwide Marketing,<NA>,<NA>,<NA>,0,0
AAPL,Mr. Kevan  Parekh,Senior VP & CFO,53,1972,4034174,0,0
AAPL,Mr. Sabih  Khan,Senior VP & Chief Operating Officer,58,1967,5021905,0,0
AAPL,Mr. Timothy D. Cook,CEO & Director,64,1961,16759518,0,0
AAPL,Ms. Deirdre  O'Brien,Senior Vice President of Retail & People,58,1967,5037867,0,0
AAPL,Ms. Katherine L. Adams,"Senior VP, General Counsel & Secretary",61,1964,5022482,0,0
AAPL,Ms. Kristin Huguet Quayle,Vice President of Worldwide Communications,<NA>,<NA>,<NA>,0,0
AAPL,Suhasini  Chandramouli,Director of Investor Relations,<NA>,<NA>,<NA>,0,0
ABBV,Dr. Azita  Saleki-Gerhardt Ph.D.,Executive VP & COO,62,1963,4065398,6071501,25844510
ABBV,Dr. Nicholas J. Donoghoe M.D.,Executive VP and Chief Business & Strategy Officer,44,1981,<NA>,0,0
ABBV,Dr. Roopal  Thakkar M.D.,Executive VP of Research and Development & Chief Scientific Officer,53,1972,<NA>,0,0
ABBV,Mr. Demetris D. Crum,Executive VP & Chief Human Resources Officer,<NA>,<NA>,<NA>,0,0
ABBV,Mr. Jeffrey Ryan Stewart,Executive VP & Chief Commercial Officer,56,1969,5003932,3067873,11960284
